ValueDate,Return,ZARCarry,MXNCarry,NFCIINDX Index,GSUSFCI Index,MXUSmSAUS,USDZAR Index,USDMXN Index,USDZAR_deviation,USDMXN_deviation
2002-01-25,1,-0.03265468006345851,-0.002353336695242736,-1.0,-0.11624763874353815,-1.3819999999999997,-0.0058815953250275724,0.0011120150802308901,-0.4570749999999979,-0.04712499999999942
2002-02-01,0,0.015580155801558027,0.05391743892165102,-0.3248235561447725,-1.0441851275731662,-1.1760000000000002,0.021946416941107636,0.00031707330672411856,-0.34457499999999897,-0.02304999999999957
2002-02-08,0,0.022069707980083564,0.015987210231814597,-0.3996669888456248,1.6278285487028368,-1.2400000000000002,-0.022457242562025706,-0.01090039717695143,0.07542499999999919,0.0005749999999995481
2002-02-15,0,-0.00513495720868995,0.0007867820613689513,0.2334574500838373,-1.6114125430225257,-1.1959999999999997,-0.0007280159257063348,-0.0026379560664271987,-0.03875000000000206,-0.08517499999999956
2002-02-22,0,-0.000132345156167335,-0.04166666666666685,0.4353247383787468,0.26741915107946684,-1.4600000000000009,-0.003185093309824411,0.002563079301427729,-0.04750000000000121,-0.06517500000000176
2002-03-01,1,-0.03163467902051609,-0.046595570139458364,1.2554871209930922,-2.0104621463628374,-1.5050000000000008,-0.012280600529830365,-0.002201431819171283,-0.06349999999999945,-0.01392500000000041
2002-03-08,0,-0.05125751776927279,-0.1643434864911375,1.330982628879827,-1.508913667447177,-2.085000000000001,0.032786961793220354,-0.002462750102208764,-0.19037499999999774,-0.01010000000000133
2002-03-15,0,-0.0031695721077655836,0.12705930807248755,1.44006524874399,0.07825748827233692,-1.4459999999999997,0.015103869124802551,-0.0009702423059060738,0.2971250000000012,-0.0039250000000006224
2002-03-22,1,-0.017921664980488416,-0.04458249588890928,1.3734822558128628,0.8898887973017172,-1.5660000000000007,-0.036215668889814256,-0.004763793209021192,0.42837499999999906,0.000700000000000145
2002-03-29,0,-0.0008830022075055899,-0.04838401223943356,0.859235075008915,-0.009793102796155861,-1.8129999999999988,-0.013593942872229965,-0.002650503293324368,-0.08725000000000094,-0.035800000000000054
2002-04-05,0,0.03520400648107236,0.03416398713826374,0.5010002054783087,-0.12223963651615533,-1.8819999999999997,-0.026345787687308168,-0.004136934923413345,-0.23937500000000078,-0.03704999999999892
2002-04-12,1,0.015509391007398898,-0.06665371162067624,-0.2790946570769024,0.6935594191787193,-2.3339999999999996,0.012387900127529414,0.015233405244870617,-0.5281249999999993,-0.05269999999999975
2002-04-19,1,0.006865629816449337,-0.06620861961274227,-0.0900599310073956,-1.5741905969313306,-2.7010000000000005,-0.012311823784472011,0.012238380108379092,-0.21687499999999993,0.11025000000000063
2002-04-26,0,0.01530754244364041,0.03589743589743599,-1.8802136018787425,1.6008925660325664,-2.6500000000000004,-0.048304477717790104,0.004830589439452491,-0.17062499999999936,0.21199999999999974
2002-05-03,0,0.008004385964912153,0.14644855789926847,-1.14902356310577,0.05998400639707388,-2.0279999999999987,-0.01771474895863666,0.011875585960660795,-0.5801249999999989,0.2083750000000002
2002-05-10,0,-0.0019172196236266759,0.006176779813757749,-1.208421257720435,1.1161154148302368,-1.9809999999999999,-0.024276971337914604,0.005042582132480062,-0.561375,0.25637499999999847
2002-05-17,1,-0.028091494898028646,-0.109193364805105,-0.37176477733208363,-2.2340372966481423,-2.3599999999999994,-0.017538669136919916,-0.005750629158419653,-0.6340000000000003,0.20562500000000128
2002-05-24,0,0.02015671212907022,0.080392115791458,0.2839149068061886,0.11562169273439914,-2.119999999999999,-0.005403016254933715,0.009837843001083596,-0.538375000000002,0.0756250000000005
2002-05-31,0,0.0040258865881641626,0.031660171775334645,1.6106511819053908,-0.18136819093584086,-1.9860000000000007,-0.019294436023474498,0.00687985922911069,-0.30912499999999987,0.1331250000000015
2002-06-07,1,0.007992117363696094,0.06547395324362948,2.322537680633156,0.8153033792534582,-1.6959999999999997,-0.000274623284694824,0.008620075571601478,-0.33474999999999966,0.14999999999999858
2002-06-14,0,0.03386010644075155,0.012240722449555541,2.7414423612522976,0.08755853340473227,-1.8759999999999994,0.06042155551458965,-0.010703900136137038,-0.1691249999999993,0.1951249999999991
2002-06-21,0,0.005948785292186454,0.033681826102108126,2.7242665325178144,0.39564250069616924,-1.7279999999999998,-0.024386507800016097,0.02734994754212231,0.5528750000000002,0.043750000000001066
2002-06-28,0,0.0038249154732845625,0.13911973433575509,2.6069381896265593,0.4908882375023252,-0.9320000000000004,0.0021046895558221464,0.000448126812279912,0.2086250000000014,0.2779999999999987
2002-07-05,1,-0.00730857261756146,-0.04250029596306382,2.3650513608372745,0.9980827590608367,-1.1630000000000003,-0.02170049315629403,-0.004948634109293199,0.1899999999999995,0.2063750000000013
2002-07-12,1,0.04527471375795855,0.022811572700296656,1.9885554397298708,1.4537190320240825,-1.3610000000000007,-0.016137435534677367,-0.020563158606431042,-0.1255000000000006,0.09450000000000003
2002-07-19,0,0.013886451936332866,0.043789664551223906,1.8466756754956208,3.089794058154329,-1.1820000000000004,-0.002464207395399317,-0.0060266634428756734,-0.3271500000000014,-0.1385000000000005
2002-07-26,1,0.02377067418230361,0.0010567763976951916,1.1460937052206013,1.2763785235974765,-1.3670000000000009,0.030105074435242733,0.003255575657595819,-0.19915000000000127,-0.20069999999999943
2002-08-02,0,0.026309752357494,0.050454801810530636,0.9817043431583187,-1.7843501357515803,-1.2360000000000007,-0.006855830359283399,0.009005239601809118,0.20094999999999885,-0.09572499999999984
